[2019-11-16 21:51:28.600] temperature (C), humidity (% relative), pressure (hPa)        
[2019-11-16 23:16:08.614] ,-3,23,1074                   
[2019-11-16 23:16:21.207] ,-3,23,1074                   
[2019-11-16 23:16:33.803] ,-3,23,1074                   
[2019-11-16 23:16:46.394] ,-3,23,1074                   
[2019-11-16 23:16:58.997] ,-3,23,1074                   
[2019-11-16 23:17:11.594] ,-3,23,1074                   
[2019-11-16 23:17:24.188] ,-3,23,1074                   
[2019-11-16 23:17:36.783] ,-3,23,1074                   
[2019-11-16 23:17:49.377] ,-3,23,1074                   
[2019-11-16 23:18:01.970] ,-3,23,1074                   
[2019-11-16 23:18:14.565] ,-3,23,1074                   
[2019-11-16 23:18:27.159] ,-3,23,1074                   
[2019-11-16 23:18:39.752] ,-3,23,1074                   
[2019-11-16 23:18:52.347] ,-3,23,1074                   
[2019-11-16 23:19:04.941] ,-3,23,1074                   
[2019-11-16 23:19:17.535] ,-3,23,1074                   
[2019-11-16 23:19:30.127] ,-3,24,1074                   
[2019-11-16 23:19:42.721] ,-3,23,1074                   
[2019-11-16 23:19:55.317] ,-3,23,1074                   
[2019-11-16 23:20:07.910] ,-3,23,1074                   
[2019-11-16 23:20:20.504] ,-3,23,1074                   
[2019-11-16 23:20:33.104] ,-3,23,1074                   
[2019-11-16 23:20:45.696] ,-3,23,1074                   
[2019-11-16 23:20:58.290] ,-3,23,1074                   
[2019-11-16 23:21:10.885] ,-3,23,1074                   
[2019-11-16 23:21:23.479] ,-3,23,1074                   
[2019-11-16 23:21:36.074] ,-3,23,1074                   
[2019-11-16 23:21:48.666] ,-3,23,1074                   
[2019-11-16 23:22:01.260] ,-3,23,1074                   
[2019-11-16 23:22:13.854] ,-3,23,1074                   
[2019-11-16 23:22:26.447] ,-3,23,1074                   
[2019-11-16 23:22:39.048] ,-3,23,1074                   
[2019-11-16 23:22:51.641] ,-3,23,1074                   
[2019-11-16 23:23:04.236] ,-3,23,1074                   
[2019-11-16 23:23:16.834] ,-3,23,1074                   
[2019-11-16 23:23:29.430] ,-3,23,1074                   
[2019-11-16 23:23:42.023] ,-3,23,1074                   
[2019-11-16 23:23:54.618] ,-3,23,1074                   
[2019-11-16 23:24:07.211] ,-3,23,1074                   
[2019-11-16 23:24:19.805] ,-3,23,1074                   
[2019-11-16 23:24:32.398] ,-3,23,1074                   
[2019-11-16 23:24:44.993] ,-3,23,1074                   
[2019-11-16 23:24:57.586] ,-3,23,1074                   
[2019-11-16 23:25:10.180] ,-3,23,1074                   
[2019-11-16 23:25:22.775] ,-3,23,1074                   
[2019-11-16 23:25:35.369] ,-3,23,1074                   
[2019-11-16 23:25:47.962] ,-3,23,1074                   
[2019-11-16 23:26:00.560] ,-3,23,1074                   
[2019-11-16 23:26:13.151] ,-3,23,1074                   
[2019-11-16 23:26:25.744] ,-3,23,1074                   
[2019-11-16 23:26:38.337] ,-3,24,1074                   
[2019-11-16 23:26:50.932] ,-3,23,1074                   
[2019-11-16 23:27:03.527] ,-3,23,1074                   
[2019-11-16 23:27:16.119] ,-3,23,1074                   
[2019-11-16 23:27:28.714] ,-3,23,1074                   
[2019-11-16 23:27:41.307] ,-3,23,1074                   
[2019-11-16 23:27:53.908] ,-3,24,1074                   
[2019-11-16 23:28:06.507] ,-3,23,1074                   
[2019-11-16 23:28:19.101] ,-3,23,1074                   
[2019-11-16 23:28:31.694] ,-3,23,1074                   
[2019-11-16 23:28:44.292] ,-3,24,1074                   
[2019-11-16 23:28:56.883] ,-3,23,1074                   
[2019-11-16 23:29:09.481] ,-3,23,1074                   
[2019-11-16 23:29:22.071] ,-3,23,1074                   
[2019-11-16 23:29:34.664] ,-3,23,1074                   
[2019-11-16 23:29:47.266] ,-3,23,1074                   
[2019-11-16 23:29:59.851] ,-3,23,1074                   
[2019-11-16 23:30:12.446] ,-3,24,1074                   
[2019-11-16 23:30:25.040] ,-3,23,1074                   
[2019-11-16 23:30:37.633] ,-3,23,1074                   
[2019-11-16 23:30:50.228] ,-3,23,1074                   
[2019-11-16 23:31:02.829] ,-3,23,1074                   
[2019-11-16 23:31:15.421] ,-3,23,1074                   
[2019-11-16 23:31:28.016] ,-3,23,1074                   
[2019-11-16 23:31:40.608] ,-3,24,1074                   
[2019-11-16 23:31:53.202] ,-3,23,1074                   
[2019-11-16 23:32:05.797] ,-3,23,1074                   
[2019-11-16 23:32:18.391] ,-3,23,1074                   
[2019-11-16 23:32:30.984] ,-3,23,1074                   
[2019-11-16 23:32:43.587] ,-3,23,1074                   
[2019-11-16 23:32:56.190] ,-3,23,1074                   
[2019-11-16 23:33:08.785] ,-3,23,1074                   
[2019-11-16 23:33:21.378] ,-3,23,1074                   
[2019-11-16 23:33:33.971] ,-3,23,1074                   
[2019-11-16 23:33:46.566] ,-3,23,1074                   
[2019-11-16 23:33:59.163] ,-3,23,1074                   
[2019-11-16 23:34:11.755] ,-3,23,1074                   
